"","Forest type","Species","Individual number","LT (mm)","LA (cm²)","SLA (cm2 g-1)","LDMC (g g-1)","LTD (g cm-3)","TDMC (g g-1)","TTD (g cm-3)","BT (mm)","BDMC (g g-1)","BTD (g cm-3)","SDMC (g g-1)","STD (g cm-3)","LC (mg g-1)","LN (mg g-1)","LP (mg g-1)","LCN","LCP","LNP","TC (mg g-1)","TN (mg g-1)","TP (mg g-1)","TCN","TCP","TNP","BC (mg g-1)","BN (mg g-1)","BP (mg g-1)","BCN","BCP","BNP","SC (mg g-1)","SN (mg g-1)","SP (mg g-1)","SCN","SCP","SNP"
"11",NA,"Acer elegantulum",1,0.2955,17.7227,239.495945945946,0.394666666666667,0.282601422858065,0.572289156626506,0.536723163841808,"2.312","0.569832402234637","0.564159292035398","0.506172839506173","0.535947712418301",458.76,20.84,1.36954503249768,22.0134357005758,334.972555932203,15.2167322033898,458.81,4.46,0.615948670944088,102.872197309417,744.883497023809,7.24086309523809,"446.11","6.82","0.60634328358209","65.4120234604106","735.738338461538","11.2477538461538","464.69","3.43","0.520112254443405","135.478134110787","893.441744604317","6.59473021582734"
"12",NA,NA,2,0.3455,25.46025,137.252021563342,0.510316368638239,0.42175786889273,0.523809523809524,0.442953020134228,"1.498","0.579136690647482","0.670833333333333","0.664798206278027","0.650933040614709",480.73,17.87,1.16135084427767,26.9015109121433,413.940371567045,15.387253634895,470.61,4.3,0.610202117420597,109.444186046512,771.236261829653,7.0468454258675,"444.31","5.81","0.551656920077973","76.473321858864","805.41","10.5319081272085","466.6","1.7","0.220372184133203","274.470588235294","2117.32711111111","7.71422222222222"
"13",NA,NA,3,0.2835,35.88625,246.64089347079,0.391655450874832,0.286030172128608,0.547413793103448,0.482889733840304,"2.252","0.575296108291032","0.549273021001615","0.633802816901408","0.633802816901408",463.11,21.91,1.31070745697897,21.1369237790963,353.328271334791,16.7161633843909,461.85,6.63,0.854947166186359,69.6606334841629,540.208820224719,7.75486516853933,"437.49","8.48","0.659154929577465","51.5908018867924","663.713461538461","12.8649572649573","463.63","3.57","0.465867158671587","129.868347338936","995.197861386138","7.66312871287128"
"14",NA,NA,4,0.259,28.11855,271.676811594203,0.38121546961326,0.28423506874565,0.568681318681319,0.518796992481203,"3.088","0.621082621082621","0.721854304635762","0.584507042253521","0.636828644501279",458.48,21.87,1.4022770398482,20.9638774577046,326.953937753721,15.5960622462787,467.86,3.71,0.559223300970874,126.10781671159,836.624652777777,6.63420138888889,"436.95","5.82","0.542965061378659","75.0773195876289","804.747913043478","10.7189217391304","459.6","3.11","0.430697674418605","147.781350482315","1067.10583153348","7.22084233261338"
"15",NA,NA,5,0.295,30.78275,233.202651515152,0.404907975460123,0.29071972264898,0.585669781931464,0.538681948424069,"1.91","0.577023498694517","0.566666666666667","0.447482014388489","0.4976",467.46,21.08,1.38018867924528,22.1755218216319,338.692822966508,15.2732740943268,463.69,3.56,0.547507055503293,130.25,846.911460481099,6.50219931271477,"447.92","6.6","0.66504854368932","67.8666666666667","673.514744525548","9.92408759124088","456.86","3.57","0.456642066420664","127.971988795518","1000.47725252525","7.8179393939394"
"16",NA,"Albizia kalkora",1,0.207,2.07585365853659,154.745454545455,0.392857142857143,1.27995767909332,0.447852760736196,0.429411764705882,"1.174","0.45414847161572","0.388059701492537","0.575539568345324","0.683760683760684",473.6,28.51,1.08587786259542,16.6117151876535,436.144815465729,26.2552548330404,463.08,8.28,0.675373134328358,55.9275362318841,685.665414364641,12.2598895027624,"452.39","19.85","0.580889309366131","22.7904282115869","778.788648208469","34.1717426710098","452.42","3.41","0.274436090225564","132.674486803519","1648.54410958904","12.4254794520548"
"17",NA,NA,2,0.1615,0.29649,185.30625,0.41025641025641,3.3414687655685,0.534979423868313,0.382352941176471,"1.39","0.481675392670157","0.443373493975904","0.626050420168067","0.599597585513079",495.5,34.97,1.61787072243346,14.1692879611095,306.266745005875,21.6148296122209,468.53,6.83,1.08088235294118,68.5988286969253,433.469931972788,6.31891156462583,"475.22","22.38","0.624524714828897","21.2341376228776","760.930654490107","35.8352511415525","458.18","2.47","0.193269230769231","185.497975708502","2370.68258706467","12.7800995024875"
"18",NA,NA,3,0.1895,0.55004,275.02,0.454545454545455,1.91878585371292,0.585714285714286,0.478134110787172,"2","0.476708074534161","0.499186991869919","0.578947368421053","0.526850507982583",492.45,25.21,1.20631786771964,19.5339151130504,408.225736497547,20.8983060556466,469.36,4.4,0.472972972972973,106.672727272727,992.361142857143,9.30285714285714,"465.13","19.56","0.537229029217719","23.7796523517382","865.794614035088","36.409052631579","461","2.97","0.227443609022556","155.218855218855","2026.87603305786","13.0581818181818"
"19",NA,NA,4,0.1985,0.48899,132.159459459459,0.44578313253012,3.81189768475122,0.551236749116608,0.465671641791045,"3.14","0.483227561196736","0.461871750433276","0.472386587771203","0.4677734375",485.27,34.61,1.59756097560976,14.0210921698931,303.756793893129,21.6642748091603,462.99,6.99,1.8672480620155,66.2360515021459,247.953129216399,3.7434769071095,"464.93","27.8","0.671065032987747","16.7241007194245","692.824058988764","41.4266853932584","458.18","4.9","0.530028598665396","93.5061224489796","864.443920863308","9.24478417266186"
"20",NA,NA,5,0.1905,0.47014,156.713333333333,0.405405405405405,1.67482361595089,0.613718411552347,0.584192439862543,"3.718","0.578498293515358","0.58448275862069","0.612637362637363","0.585301837270341",477.93,37.88,1.45481049562682,12.6169482576558,328.517014028057,26.0377555110221,458.26,6.39,0.6248821866164,71.7151799687011,733.354238310709,10.2259276018099,"474.73","23.42","0.478510028653295","20.2702818104184","992.100419161677","48.9435928143713","454.41","3.68","0.260178748758689","123.48097826087","1746.53003816794","14.1441221374046"
"21",NA,"Alniphyllum fortunei",1,0.434,47.07265,104.143030973451,0.413729977116705,0.442496717043923,0.454545454545455,0.446685878962536,"3.292","0.501103752759382","0.514739229024943","0.443089430894309","0.441742654508612",450.15,13.51,0.790697674418605,33.319763138416,569.307352941176,17.0861764705882,467.42,2.86,0.33816425120773,163.433566433566,1382.22771428571,8.45742857142856,"447.51","4.16","0.337536372453928","107.574519230769","1325.81267241379","12.3245977011494","468.66","1.85","0.193457943925234","253.32972972973","2422.5420289855","9.56280193236713"
"22",NA,NA,2,0.4295,28.50205,124.735448577681,0.329488103821197,0.373316284079389,0.456973293768546,0.454277286135693,"2.258","0.443148688046647","0.472049689440994","0.424581005586592","0.432432432432432",435.27,12.53,0.877625570776256,34.7382282521947,495.963215400624,14.2771592091571,467.06,2.59,0.485110470701249,180.332046332046,962.79100990099,5.3389900990099,"413.13","5.06","0.392959086584206","81.6462450592885","1051.33082324455","12.8766585956416","459.84","1.12","0.169409486931268","410.571428571429","2714.36982857143","6.61120000000001"
"23",NA,NA,3,0.395,32.78635,148.019638826185,0.354683746997598,0.342068875413632,0.45707656612529,0.44469525959368,"1.266","0.380952380952381","0.372759856630824","0.349719101123595","0.321290322580645",437.22,13.12,1.13493530499076,33.3246951219512,385.237817589576,11.5601302931596,467.82,1.62,0.406105457909343,288.777777777778,1151.9667881549,3.98911161731207,"404.89","4.78","0.540152963671128","84.7050209205021","749.58396460177","8.84934513274336","460.45","1.87","0.403027436140019","246.229946524064","1142.47805164319","4.63988262910798"
"24",NA,NA,4,0.441,34.1736,131.436923076923,0.368532955350815,0.345043636607049,0.444711538461538,0.425287356321839,"1.548","0.388936905790838","0.36","0.329436038514443","0.315754779169413",436.39,13.74,1.05970149253731,31.7605531295488,411.804647887325,12.9659154929578,465.61,2.16,0.387814313346228,215.560185185185,1200.60034912718,5.56967581047382,"428.8","4.94","0.482600732600733","86.8016194331984","888.519165085388","10.2362049335863","463.5","2.08","0.324687800192123","222.836538461538","1427.52514792899","6.40615384615385"
